# Phonon free energy and specific heat from phonopy-VASP
# Phonon zero point energy = 0.19309939644311433
#    Temperature (K)   Free energy (eV/cell)   Internal energy (eV/cell)    c_v (kB/cell)   -TS_vib(eV/cell)
999.0   -3.666079856799611   2.073092984015443   23.91889470593019   -5.739172840835782
1000.0   -3.6718258058237647   2.075154161560348   23.91905640008431   -5.746979967384114
1001.0   -3.677573816301153   2.077215353615231   23.919217613149012   -5.754789169359823
1002.0   -3.6833238851224945   2.079276559143665   23.91937834512429   -5.762600444776082
1003.0   -3.6890760122877895   2.0813377781456492   23.91953859601015   -5.770413790623104
1004.0   -3.694830193651331   2.083399011657611   23.91969837783382   -5.778229204944119
1005.0   -3.7005864281766905   2.085460258643123   23.91985767856808   -5.786046686840541
1006.0   -3.7063447137910153   2.087521519102186   23.920016510240146   -5.793866233349228
1007.0   -3.7121050484214506   2.089582794071226   23.92017487285003   -5.801687841519472
1008.0   -3.717867429995143   2.09164408147739   23.920332754370495   -5.809511511547156
1009.0   -3.7236318564392388   2.093705383393531   23.92049017885601   -5.817337239470021
1010.0   -3.729398325680883   2.095766698783223   23.920647134279342   -5.825165023427679
1011.0   -3.735166835647223   2.0978280266100384   23.920803632667724   -5.8329948626241555
1012.0   -3.7409373842654037   2.099889368946832   23.920959661993923   -5.840826754186476
1013.0   -3.746709970498999   2.1019507247571756   23.92111523428517   -5.848660695254101
1014.0   -3.7524845922751546   2.1040120940410696   23.921270349541466   -5.856496685080804
1015.0   -3.7582612454481623   2.1060734757620874   23.921425007762817   -5.864334721889109
1016.0   -3.7640399300180234   2.1081348709566554   23.92157920894922   -5.872174801812113
1017.0   -3.7698206439118827   2.1101962806612016   23.92173295310067   -5.880016924153331
1018.0   -3.775603385056886   2.1122577017664437   23.921886252244406   -5.887861087181933
1019.0   -3.781388150343753   2.114319137381664   23.922039094353195   -5.895707288127551
1020.0   -3.7871749397724845   2.1163805854340074   23.922191503481503   -5.903555525289406
1021.0   -3.792963749197371   2.1184420469599012   23.922343455574865   -5.911405795925113
1022.0   -3.7987545775819873   2.1205035219593458   23.92249496266051   -5.91925809942318
1023.0   -3.804547423889905   2.1225650093959145   23.92264603676568   -5.927112433072316
1024.0   -3.8103422850118442   2.124626510306033   23.922796665863135   -5.934968795234963
1025.0   -3.81613915887495   2.1266880236532755   23.92294684995288   -5.942827183227814
1026.0   -3.8219380444427955   2.128749550474068   23.92309660106214   -5.950687594379996
1027.0   -3.8277389396425283   2.1308110897319845   23.923245919190926   -5.958550029226304
1028.0   -3.833541841364866   2.1328726424634517   23.923394804339235   -5.966414482999176
1029.0   -3.839346748573382   2.1349342065956156   23.923543256507063   -5.974280956267609
