#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     404.000     -69.3646490    375.3540041    195.4855370     82.2783687
     405.000     -69.7402447    375.8373057    195.5052060     82.4738641
     406.000     -70.1163232    376.3194637    195.5247334     82.6693791
     407.000     -70.4928833    376.8004834    195.5441206     82.8649135
     408.000     -70.8699238    377.2803702    195.5633687     83.0604673
     409.000     -71.2474436    377.7591291    195.5824792     83.2560402
     410.000     -71.6254417    378.2367654    195.6014534     83.4516322
     411.000     -72.0039168    378.7132843    195.6202925     83.6472431
     412.000     -72.3828679    379.1886907    195.6389978     83.8428727
     413.000     -72.7622938    379.6629898    195.6575705     84.0385210
     414.000     -73.1421935    380.1361867    195.6760120     84.2341878
     415.000     -73.5225658    380.6082862    195.6943234     84.4298730
     416.000     -73.9034097    381.0792935    195.7125060     84.6255764
     417.000     -74.2847240    381.5492134    195.7305609     84.8212980
     418.000     -74.6665077    382.0180508    195.7484893     85.0170375
     419.000     -75.0487598    382.4858106    195.7662925     85.2127949
     420.000     -75.4314790    382.9524977    195.7839715     85.4085700
     421.000     -75.8146644    383.4181169    195.8015275     85.6043628
     422.000     -76.1983149    383.8826728    195.8189616     85.8001731
     423.000     -76.5824294    384.3461704    195.8362750     85.9960007
     424.000     -76.9670069    384.8086142    195.8534688     86.1918456
     425.000     -77.3520463    385.2700091    195.8705440     86.3877076
     426.000     -77.7375465    385.7303595    195.8875018     86.5835866
     427.000     -78.1235066    386.1896702    195.9043431     86.7794825
     428.000     -78.5099255    386.6479458    195.9210691     86.9753953
     429.000     -78.8968022    387.1051908    195.9376809     87.1713246
     430.000     -79.2841356    387.5614097    195.9541793     87.3672706
     431.000     -79.6719247    388.0166071    195.9705656     87.5632330
     432.000     -80.0601685    388.4707873    195.9868406     87.7592117
     433.000     -80.4488659    388.9239550    196.0030053     87.9552066
     434.000     -80.8380160    389.3761145    196.0190609     88.1512177
     435.000     -81.2276178    389.8272701    196.0350081     88.3472447
     436.000     -81.6176702    390.2774263    196.0508481     88.5432876
     437.000     -82.0081723    390.7265874    196.0665817     88.7393464
     438.000     -82.3991231    391.1747576    196.0822100     88.9354208
     439.000     -82.7905215    391.6219414    196.0977337     89.1315107
     440.000     -83.1823666    392.0681428    196.1131539     89.3276162
     441.000     -83.5746575    392.5133662    196.1284715     89.5237370
     442.000     -83.9673930    392.9576157    196.1436874     89.7198731
     443.000     -84.3605724    393.4008956    196.1588024     89.9160244
     444.000     -84.7541945    393.8432099    196.1738175     90.1121907
     445.000     -85.1482585    394.2845628    196.1887336     90.3083720
